dates,headlines,links,article_content
2012-1-12,CORRECTED-Regeneron posts \'11 Eylea sales of $24-25 mln,https://www.reuters.com/article/idUSN1E80B05920120112,"* Eylea 2011 sales totaled $24-25 mln* Regeneron estimates 2012 U.S. sales of $140-$160 mlnSAN FRANCISCO, Jan 9 (Reuters) - Sales of Eylea, the eye drug launched last November by Regeneron Pharmaceuticals Inc , totaled between $24 million and $25 million through the end of last year, the company said on Monday.The unaudited results blew past the average Wall Street estimate of $5 million, as compiled by Thomson Reuters.“The adoption has been really quite spectacular,” Regeneron Chief Executive Officer Leonard Schleifer told Reuters in an interview here at the JP Morgan Healthcare Conference.He estimated 2012 Eylea sales of between $140 million and $160 million.Eylea, approved by the U.S. Food and Drug Administration for treatment of a common cause of blindness in the elderly, is in direct competition with Lucentis, a well-established drug sold by Roche .Schleifer attributed the strong Eylea launch to the fact that Regeneron listened to doctors and patients when developing Eylea, which can be given once every two months, compared with the typical monthly dosing of Lucentis.At launch, Eylea was priced at $1,850 per dose, $100 less than Lucentis. According to Roche’s Genentech unit, the average cost for one year of Lucentis treatment in the U.S. depends on the number of injections a patient receives and typically ranges from $9,750 to $15,600.“Patients and doctors are looking for alternatives,” Schleifer said, noting that it was still too early to tell if patients are being switched from Lucentis to Eylea.Both Eylea and Lucentis also face competition from Roche’s cancer drug Avastin, which costs only around $50 per dose and is often used by doctors to treat macular degeneration even though it has not been approved by the FDA for that purpose.Regeneron has full marketing rights to Eylea in the United States and would share overseas profits equally with Germany’s Bayer ."
2012-1-13,Analysis: Investors likely to wait out 2012 drug launches,https://www.reuters.com/article/idUSTRE80C1SQ20120113,"SAN FRANCISCO (Reuters) - Burned by disappointing early sales for new, high-profile biotech medicines in 2011, healthcare investors are cautious ahead of this year’s expected crop of drug launches.Not so long ago, biotech makers could practically bank on seeing their company values jump once they obtained regulatory approval to market a drug. Now, investors are more likely to wait on the sidelines, or short a stock, ahead of proof the new treatments will be a commercial success, a process that could take months.“People are all freaked out about product launches,” said ISI Group analyst Mark Schoenebaum.Well aware of that angst, drug developers are spending far more time laying the groundwork to get paid by insurance plans and to convince doctors and patient groups of their medicines’ value as they prepare for regulatory approval.""There was a time when products got full value prior to launch. I think we have now swung back in the other direction,"" said John Orwin, chief executive officer at Affymax Inc AFFX.O, which expects U.S. regulators to decide by late March whether to approve its experimental anemia drug.Shares of Dendreon Corp DNDN.O, maker of the novel therapeutic prostate cancer vaccine Provenge, ended last year down 83 percent from their peak in May, while Human Genome Sciences HGSI.O finished with a drop of 75 percent after launching Benlysta, the first new drug for lupus in more than 50 years.Initial sales of Provenge and Benlysta failed to live up to lofty expectations, and investors are cautious ahead of early sales results for drugs launched in 2011 by companies including Incyte Corp INCY.O, Seattle Genetics SGEN.O and Savient Pharmaceuticals SVNT.O.Even shares of Vertex Pharmaceuticals VRTX.O, which launched hepatitis C drug Incivek last year with record-breaking sales of $420 million for its first full quarter on the market, ended the year 44 percent below their 52-week high.The overall sector is up so far this year, and still outperforms the wider stock market. The Nasdaq Biotech Index .NBI rose 12 percent in 2011, compared with a flat return for the Standard & Poor's 500 Index .SPX.The growing challenges for new drugs -- reimbursement, regulatory issues and safety concerns -- were major topics here this week at the annual JP Morgan healthcare conference. ""Sometimes there is a gap between customers' expectations and companies' expectations,"" said Yoshihiko Hatanaka, CEO of Astellas Pharma 4503.T, Japan's No. 2 drugmaker. ""It is critical for us to reduce that gap.""Astellas has partnered with Medivation Inc MDVN.O to develop prostate cancer drug MDV3100, which could win regulatory approval as soon as late 2012.As the market has begun to recognize that innovative drugs have unproven real-world outcomes, companies are pursuing more niche markets.“There is a trend away from big launches,” said Ulrik Schulze, global leader for biopharma R&D at Boston Consulting Group.In the 1990s, it typically took less than two years for a new pharmaceutical to reach peak sales, he said. That time frame is widening as companies grapple with pressure from payers and a greater focus on whether a new treatment truly improves upon existing ones.Some drugmakers are even starting to compete on the basis of price at a drug’s launch, rather than expect a premium for its novelty.Regeneron Pharmaceuticals Inc REGN.O, which began selling its macular degeneration drug Eylea in November, said this week that sales in the first six weeks totaled $24 million to $25 million -- well above the $5 million expected by Wall Street.Eylea competes against Roche AG's ROG.VX well-established Lucentis, but is priced slightly lower on a per-dose basis and can be given less frequently.CEO Leonard Schleifer said Regeneron was careful ahead of its launch to lay the groundwork with retinal physicians and to set up a system for reimbursement.“If you deliver a product that physicians, payers, and patients think is an important product, your launch will be fine,” he said.Affymax also plans to undercut the price of its biggest rival for the treatment of anemia in kidney dialysis patients -- Amgen Inc's AMGN.O blockbuster Epogen.“We recognize that peginesatide has to be part of a solution to lower costs,” Orwin said, referring to the Affymax drug.Amgen CEO-elect Robert Bradway said the company expects competition from Affymax sometime this year, but still anticipates less erosion in Epogen sales relative to 2011. Sales of Epogen, which totaled $2.5 billion in 2010, have waned over the last several years amid safety concerns.Amgen expects the Food and Drug Administration to decide in late April whether to approve its bone drug Xgeva, or denosumab, for preventing the spread of prostate cancer to the bone.“Xgeva is the biggest opportunity for us in 2012,” Bradway said.But uptake of denosumab for osteoporosis has been gradual and some Wall Street analysts are wary of Xgeva’s potential relevance in the prevention of bone cancer.The first high-profile drug that could reach the market this year is diabetes treatment Bydureon, which is being developed by Amylin Pharmaceuticals AMLN.O after it recently ended a long-time diabetes partnership with Eli Lilly & Co LLY.N.The latest deadline for an FDA decision on Bydureon is January 28.Bydureon faces strong competition from similar drugs and Amylin will for the first time be responsible for launching a drug on its own.“We think there is substantial uncertainty and think that there is somewhat more risk of sales falling short than of exceeding our estimates,” Cowen and Co said in a research note to clients."
2012-1-27,Infinity stops cancer drug trial,https://www.reuters.com/article/idUSTRE80Q0VH20120127,"(Reuters) - Infinity Pharmaceuticals pulled the plug on a mid-stage trial of its experimental pancreatic cancer drug as it failed to show benefit over a placebo, wiping off over 41 percent of its market value.Data from a preliminary analysis showed that patients receiving placebo along with an anti-cancer chemotherapy drug lived longer than patients who received the Infinity drug saridegib in combination with chemotherapy.“It was a risky program to begin with and metastatic pancreatic cancer is an extremely tricky indication and I can only count failures in the past,” said ThinkEquity analyst Mani Mohindru.Pancreatic cancer has proven to be a tough nut to crack for even major drugmakers. In 2009, Pfizer ended its late-stage trial of axitinib, followed soon after by Sanofi-Aventis and Regeneron’s decision to drop their late-stage trial of aflibercept for the same indication.World-wide more than 266,000 people die of pancreatic cancer every year, which to date has been treated with standard chemotherapy gemcitabine.“I am surprised (by the trial result), given the data they released last week from their Phase 1 trial,” Mohindru said.“There was nothing to suggest that the combination of gemcitabine and saridegib was bad.”Infinity said it stopped the current trial because the drug, which it is developing in partnership with privately held Purdue Pharma and its affiliate Mundipharma, would not meet its main goal.The mid-stage trial was testing 122 patients with previously untreated, metastatic pancreatic cancer.“I don’t think the drug is dead, but I certainly think that there is no reason to continue to pursue in pancreatic cancer,” Rodman & Renshaw analyst Michael King said.Infinity is testing saridegib in mid-stage trials as a single agent therapy in myelofibrosis, a rare bone marrow disorder, and a life-threatening cancer of the cartilage.“We continue to believe in the therapeutic potential of Hedgehog pathway inhibition,” the company said.The Cambridge, Massachusetts-based company expects to report data from the myelofibrosis mid-stage trial in the second half of 2012.However, both analysts have not assigned any value to these two indications while calculating their price targets.Infinity shares are worth about $5 based on the cash and value of other programs, King said.The company is also developing another drug, retaspimycin hydrochloride, for non-small cell lung cancer. The drug is in mid-stage trial.The stock was down 40 percent at $5.99 -- its lowest in four months -- in morning trade on Friday on the Nasdaq. The stock, which had touched a low of $5.85 earlier in the session, was the top percentage loser on the exchange. About 859,000 shares changed hands by 1615 GMT, more than 14 times their normal volume."
2012-10-16,Roche sees more cancer success as sales top forecast,https://www.reuters.com/article/idUSBRE89F07T20121016,"ZURICH (Reuters) - Swiss drugmaker Roche Holding AG is banking on a new generation of breast cancer medicines to drive sales growth after strong demand for its established cancer treatments helped it to top forecasts in the third quarter.Most of Roche’s best-selling cancer drugs do not face imminent generic competition, sparing it the pain from a wave of patent expiries currently sweeping the global drugs industry.It is further buttressing its defenses by developing follow-on drugs which can be used in combination with its existing medicines, helping to extend the longevity of its expensive brand name drugs.On a conference call for journalists, Chief Executive Severin Schwan declined to comment on speculation Roche would reconsider its dropped $6.8 billion bid to buy U.S. gene-sequencing company Illumina. But he added Roche was looking at ways to expand in sequencing “both internally and externally.”Third-quarter sales rose 15 percent to 11.27 billion Swiss francs ($12.1 billion), beating the average analyst forecast of 11.12 billion francs in a Reuters poll.This figure was helped by the weakening of the Swiss franc against the dollar and the yen in the quarter.“Third quarter results are once again a strong set of numbers. (The) company continues to grow, while the rest of the industry is fighting against patent expirations and pricing pressures,” said Vontobel analyst Andrew Weiss, who has a ‘buy’ rating on the stock.Roche shares, which have beaten the European healthcare sector by gaining 15.5 percent this year, traded up 0.4 percent to 184.7 francs at 0755 GMT, in line with the index.Roche said it had high hopes for newly-launched drug Perjeta, a treatment for women with a particularly aggressive form of breast cancer which was approved by U.S. regulators in June and is a follow on to its third biggest seller Herceptin.It said there was broad willingness among doctors in the United States to prescribe Perjeta. Sales of the drug, which many analysts tip as a future blockbuster - which would mean selling over $1 billion a year - were 26 million francs so far.The Basel-based company is also hoping to gain European and U.S. approval for a new chemotherapy-carrying “armed” antibody called T-DM1, a drug for advanced breast cancer.Roche, which kicks off the third-quarter reporting season for major drugmakers, kept its guidance for sales to grow by a low-to-mid single digit percentage at constant exchange rates this year, with core earnings up in the high single-digits.In the third quarter group sales grew 4 percent at constant exchange rates.Sales at the dominant pharmaceutical business surpassed forecasts, driven by solid growth in its top three cancer medicines - MabThera, Avastin and Herceptin - and a 27 percent leap in rheumatoid arthritis medicine Actemra in the quarter.This helped offset declines in eye drug Lucentis due to competition from Regeneron’s drug Eylea, and lower sales of CellCept, a medicine given to organ transplantation patients.In Roche’s diagnostics division, strong growth in its professional and tissue diagnostics units helped offset a decline in its diabetes business, which suffered from ongoing price pressures and reimbursement cuts.($1 = 0.9341 Swiss francs)"
2012-10-24,"Regeneron profit boosted by Eylea, raises drug\'s forecast again",https://www.reuters.com/article/idUSBRE89N0UT20121024,"(Reuters) - Regeneron Pharmaceuticals Inc reported third-quarter earnings that blew past Wall Street expectations on strong growth in its eye drug Eylea, whose sales projections the company raised for the fourth time this year.The biotechnology company now expects full-year Eylea sales of between $790 million and $815 million in the United States, above the $700 million to $750 million it forecast in late-July, and nearly five times the initial forecast it made in January.Shares of the New York-based company were up 5 percent in trading before the bell, after closing at $152.99 on the Nasdaq on Tuesday.“With the recent approval of Eylea for (an additional use) and the anticipated launch beginning by the end of this year in Japan, Australia, and Europe, we expect Eylea to continue to drive growth through 2013 and beyond,” Regeneron Chief Executive Leonard Schleifer said.Eylea was approved last November to treat wet age-related macular degeneration of the eye, or damage to the macula - the central region of the retina. Wet age-related macular degeneration is the leading cause of blindness among the elderly.The drug was also approved in late-September to treat thickening of the macula that may follow a central retinal vein occlusion, or a blockage in the veins that carry blood away from the eye.Regeneron will receive about half of the profit from Eylea sales outside the United States, where the drug is being marketed by Germany’s Bayer Ag.Eylea could also benefit from the recent meningitis outbreak in the United States that may reduce off-label usage of Roche Holding AG’s cancer drug Avastin, which along with the Swiss drugmaker’s Lucentis, competes with the Regeneron drug.Avastin is one of the drugs compounded at the New England Compounding Center (NECC), the Boston-area pharmacy whose steroid shot were linked to several meningitis deaths.BMO Capital Markets analyst Jim Birchenough said in a note on Monday that the perceived risk of using compounded Avastin and the increase in regulatory scrutiny could limit the drug’s bulk distribution.Third-quarter Eylea sales rose about 26 percent over the previous quarter to $244 million.Regeneron’s total revenue rose more than four-fold to $427.7 million from a year earlier.The company recorded a $50 million milestone payment from partner Sanofi SA related to the August approval of their colorectal cancer drug, Zaltrap. The drug recorded sales of $8 million in the third quarter.Analysts expected revenue of $349.2 million, according to Thomson Reuters I/B/E/S.The company reported a net profit of $191.5 million in the period, or $1.72 per share, compared with a loss of $62.4 million, or 68 cents per share, a year earlier.Analysts were expecting earnings of 95 cents per share."
2012-10-24,Regeneron reports strong Eylea sales in third-quarter,https://www.reuters.com/article/idUSBRE89N0KB20121024,"(Reuters) - Regeneron Pharmaceuticals Inc's REGN.O third-quarter profit beat analysts' expectations on strong sales of its eye drug, Eylea.Sales of Eylea, which was approved by the U.S. health regulator in November 2011, rose about 26 percent to $244 million in the third quarter from the previous quarter.Net profit was $191.5 million, or $1.72 per share, compared with a loss of $62.4 million, or 68 cents per share, a year earlier."
2012-11-05,Experimental Pfizer cholesterol drug promising in study,https://www.reuters.com/article/idUSBRE8A41AY20121105,"LOS ANGELES (Reuters) - An experimental Pfizer Inc cholesterol drug showed promise in a small midstage trial, putting the world’s largest drugmaker in the race to develop a medicine from a promising new class, albeit behind similar programs by Regeneron Pharmaceuticals Inc and Amgen Inc.The drug, RN316, which Pfizer acquired with its purchase of Rinat Neuroscience, is a PCSK9 inhibitor, a class of biotech medicines that has generated great excitement in the industry.The drugs work by blocking a protein that slows removal of bad LDL cholesterol from the blood and are considered potentially the most important advance in the field since widely used statin drugs, such as Pfizer’s Lipitor.In a 12-week trial of about 130 patients already on high doses of cholesterol-lowering statins, Pfizer’s PCSK9 drug cut LDL cholesterol by 56 percent at the highest dose of 6 milligrams/kilogram of weight. The 3 mg/kg dose lowered LDL levels by 46 percent on top of statins, according to data unveiled on Monday.Barry Gumbiner, executive director of clinical research for Pfizer’s PCSK9 program, said the results were somewhat misleading because any patient whose LDL level fell below 25 had doses withheld as a precaution, skewing the overall results.After four weeks, patients on the highest dose had LDL reductions of up to 80 percent before some had doses withheld, Pfizer explained. The data was presented at the American Heart Association scientific meeting in Los Angeles.PCSK9 drugs are intended for use by the millions of people who either cannot tolerate statins or cannot get their LDL levels down to target goals with statins and other drugs, including patients with a genetic condition that makes them predisposed to extreme, dangerously high cholesterol.Analysts have said the PCSK9 drugs could generate billions of dollars in annual sales.The Pfizer drug was administered intravenously once every four weeks for a total of three dosings in the brief proof-of-concept trial. Subsequent trials will use a version injected under the skin, with the next Phase II study designed to determine which doses of the drug will be advanced into much larger, late-stage studies, the company said.Patients on the higher doses who were not taken off the drug over the 12 weeks experienced sustained LDL level declines of 75 percent, said Gumbiner, who presented the data at the meeting.The drug was also tested at doses of 0.25 mg/kg and 1 mg/kg against a placebo.Pfizer researchers said the drug appeared to be well-tolerated, with no allergic reactions or safety issues of concern cropping up in the small study.Earlier on Monday, U.S. biotech Regeneron Pharmaceuticals Inc and its partner, French drugmaker Sanofi, announced plans to begin enrolling subjects in an 18,000-patient study to determine whether its PCSK9 drug can reduce heart attacks, strokes and death. That and an ambitious program that includes several smaller Phase III studies solidify Regeneron as the clear front-runner in the race to bring one of these new medicines to market.Amgen Inc, which is also aggressively pursuing a rival PCSK9 drug, is somewhat further along than Pfizer. The world’s largest biotech company presented data from two Phase II studies at the heart meeting on Monday and planned to present the results of two more midstage trials on Tuesday.Sean Harper, Amgen’s research chief, said in a telephone interview that the company expects to begin its Phase III trials early next year."
2012-11-05,Amgen experimental drug lowers cholesterol in mid-stage trial,https://www.reuters.com/article/idUSBRE8A418B20121105,"LOS ANGELES (Reuters) - Amgen Inc’s experimental drug AMG145 reduced levels of bad cholesterol by as much as 55 percent in combination with statin drugs in patients genetically predisposed to high cholesterol, according to data from a midstage trial presented on Monday.The new drug, given by injection every four weeks, is part of a promising new class of biotech medicines known as PCSK9 inhibitors designed to target a protein that prevents the body from removing artery blocking LDL cholesterol from the bloodstream.Statins, such as Pfizer Inc’s Lipitor and AstraZeneca’s Crestor, work by preventing the liver from making cholesterol.The Phase II trial found that after 12 weeks, patients treated with a low dose of AMG145 had a 43 percent reduction in LDL, while those given a higher dose had a drop of 55 percent. Patients treated with a placebo saw a 1 percent increase in LDL cholesterol.The trial, presented here at the annual scientific meeting of the American Heart Association, included 168 patients with heterozygous familial hypercholesterolemia, in which a defective gene inherited from one parent impairs the ability to properly metabolize LDL. The disorder is estimated to affect about one in 500 people and causes extremely high cholesterol.The most common side effects seen in the trial were injection-site reactions, cold-like symptoms and headache.AMG145, along with other PCSK9 inhibitors being developed by companies like Pfizer, Regeneron Pharmaceuticals Inc in partnership with Sanofi and Roche, is a man-made antibody."
2012-11-05,WRAPUP-New class of cholesterol drugs shows promise in trials,https://www.reuters.com/article/idUSL1E8M5EC720121105,"LOS ANGELES, Nov 5 (Reuters) - A new class of experimental cholesterol-lowering drugs demonstrated a promising new technique for reducing levels of the artery-clogging fatty deposits in mid-stage studies.The medicines, which are man-made antibodies, lowered “bad” cholesterol by more than 40 percent and up to 80 percent in small Phase 2 studies released by Amgen Inc and Pfizer Inc on Monday at the annual scientific meeting of the American Heart Association in Los Angeles.The drugs, given by injection every two or four weeks, are part of a group of biotech medicines known as PCSK9 inhibitors designed to target a protein that prevents the body from removing artery-blocking LDL cholesterol from the bloodstream.The most commonly used cholesterol-lowering drugs - statins such as Pfizer’s Lipitor and AstraZeneca’s Crestor - work by preventing the liver from making cholesterol.The expiration of patents on all but one of that top-selling class of heart medicines - Crestor - has eroded one of the main sources of drug company profits.Mean annual sales of 15 different categories of heart drugs are set to fall by more than a quarter by 2017, from $83 billion in 2011 to $60 billion, according to consensus analyst forecasts compiled by Thomson Reuters Pharma.Analysts have said the PCSK9 drugs could generate billions of dollars in annual sales.The experimental drugs from Pfizer and Amgen proved effective in lowering LDL cholesterol by significant amounts in patients genetically predisposed to high cholesterol and in patients unable to tolerate statins, according to the mid-stage data.The drugmakers aim, however, is to also show the new drugs can lower the risk of heart disease in a much broader group of patients who are not able to control their cholesterol with statins and other drugs, such as Merck and Co’s Zetia.Partners Regeneron Pharmaceuticals <REGN.O) and Sanofi announced on Monday the launch of an 18,000-patient trial of their once-every-two-weeks PCSK9 inhibitor to see if it cuts the risk of heart attacks, strokes and death, putting them ahead of the field pursuing the new class of drugs.Roche is also developing a PCSK9 drug.RBC Capital Markets analyst Adnan Butt estimated that there are roughly 1 million U.S. patients who are intolerant to statins and another 11 million whose cholesterol is poorly controlled by the drugs.In a Phase 2 trial, Amgen’s drug AMG145 showed it can reduce LDL levels by as much as 55 percent when combined with statins in patients genetically predisposed to high cholesterol. After 12 weeks, patients treated with a low dose of AMG145 had a 43 percent reduction in LDL, while those given a higher dose had a drop of 55 percent. Patients treated with a placebo saw a 1 percent increase in LDL cholesterol.A second Phase 2 trial of AMG145 found that it reduced LDL by up to 51 percent in patients unable to tolerate statins. When those patients were treated with AMG145 and ezetimibe - the chemical name for Zetia, LDL fell by 63 percent.The trial results were generally in line with expectations, said RBC Capital Markets analyst Michael Yee.Amgen will present more AMG145 trial results on Tuesday, including a mid-stage trial in patients with uncontrolled cholesterol despite statins, which Yee said will be more interesting data.Sean Harper, head of research and development at Amgen, told Reuters in a telephone interview that the company plans to launch pivotal-stage trials of the drug early next year.He said the company will conduct a broader Phase 3 trial designed to see whether AMG145 can lower the risk of heart problems, and it was “not unreasonable” to assume that such a trial would take five years to yield results.Pfizer, which slightly lags Amgen and Regeneron in development of its experimental PCSK9 inhibitor, presented mid-stage trial data showing that its drug, RN316, also significantly lowers LDL cholesterol levels.In a 12-week trial of about 130 patients already on high doses statins, the Pfizer drug cut LDL cholesterol by 56 percent at the highest dose of 6 milligrams/kilogram of weight. The 3 mg/kg dose lowered LDL levels by 46 percent on top of statins, according to data unveiled on Monday.Barry Gumbiner, executive director of clinical research for Pfizer’s PCSK9 program, said the results were somewhat misleading because any patient whose LDL level fell below 25 had doses withheld as a precaution, skewing the overall results.After four weeks, patients on the highest dose had LDL reductions of up to 80 percent before some had doses withheld, Pfizer explained.The Pfizer drug was administered intravenously once every four weeks for a total of three dosings in the brief proof-of-concept trial. Subsequent trials will use a version injected under the skin, with the next Phase II study designed to determine which doses of the drug will be advanced into much larger, late-stage studies, the company said.Pfizer researchers said the drug appeared to be well-tolerated, with no allergic reactions or safety issues of concern cropping up in the small study. (Reporting By Deena Beasley and Bill Berkrot in Los Angeles; Editing by Leslie Adler)"
2012-11-06,Amgen drug cut cholesterol up to 66 percent in statin patients,https://www.reuters.com/article/idUSBRE8A514B20121106,"LOS ANGELES (Reuters) - Amgen Inc’s experimental cholesterol-lowering drug, AMG145, reduced levels of “bad” cholesterol up to 66 percent in patients already taking statin drugs, according to results from a mid-stage trial that were presented on Tuesday.The findings were in line with other AMG145 studies showing significant reductions in LDL cholesterol that were unveiled this week at the American Heart Association scientific meeting in Los Angeles, California.The latest study of 629 patients is the largest trial so far of a drug in a new class of injectable biotech drugs, known as PCSK9 inhibitors, designed to target a protein that prevents the body from removing artery blocking LDL cholesterol from the bloodstream.The Amgen trial findings were “as good as we could have hoped,” UBS analyst Matthew Roden said in a research note.The Phase 2 trial showed a mean reduction in LDL versus a placebo of 42 percent for patients injected with 70 mg of AMG145 every two weeks, 60 percent in the 105 mg group and 66 percent in the 140 mg group.When the drug was administered every two weeks, the mean reduction in LDL was 42 percent for the 280 mg group, 50 percent for the 350 mg group and 50 percent in the 420 mg group.“We had some patients with entry LDLs as low as 85,” said Dr. Robert Giugliano, associate professor at Brigham and Women’s Hospital in Boston, and the study’s lead investigator, “At the end, some had LDLs measured in the teens.”Patients in the trial were taking common statin pills such as Pfizer Inc’s Lipitor. Some were taking Merck & Co Inc’s cholesterol medicine Zetia.Current guidelines from the AHA call for LDL levels to be 100, but some cardiologists believe even lower levels would be beneficial.Analysts have estimated that PCSK9 drugs - also being developed by Regeneron Pharmaceuticals in partnership with Sanofi, Pfizer, and Roche - could eventually generate billions Of dollars in annual sales.“Though trials vary, we currently assume safety and efficacy is likely similar across various drugs with Regeneron/Sanofi first to market,” RBC Capital Markets analyst Adnan Butt said in a research note. “In addition to clinical utility, market size is the next parameter up for debate.”He said the conservative estimate is that 15 percent of high-cholesterol patients need additional treatment, representing two million to three million patients, or an ultimate U.S. market opportunity of at least $10 billion to $15 billion.The most common side effects seen in the Amgen trial of statin patients were cold-like symptoms, cough and nausea.Side effects in previous, smaller, trials of the drug included injection-site reactions, headache and muscle pain.AMG145 has demonstrated “very effective lipid changes,” said Dr. Peter Wilson, an endocrinologist at Emory University and the Veterans’ Affairs Medical Center in Atlanta. He noted that more work needs to be done to determine the drug’s full impact on the liver and on muscles.Sean Harper, head of research and development at Amgen, said the company plans to begin pivotal-stage trials of AMG145 early next year.He said the company plans to first file for regulatory approval of AMG145 based on Phase III studies looking at the drug’s ability to lower LDL.Amgen also plans to conduct a broader Phase III trial designed to see whether AMG145 can lower the risk of heart problems. Harper said it was “not unreasonable” to assume that such a trial would take five years to yield results.“We have seen a very consistent effect of lowering LDL ... which is really important because by reducing LDL by half one would predict that we would be reducing the risk of cardiovascular events by about that same amount,” Harper said.Shares of Amgen, which have risen 37 percent so far this year, were up 88 cents at $87.23 in Nasdaq trading."
