date,adjusted_abs,adj_direction,cleaned,headline_word,dict_score,target_var
2012-01-13,0.1647936711853703,negative,nestle decline comment unit bid report,6,-1,0
2012-01-27,0.6479853713683092,negative,fda approves inlyta kidney cancer,5,2,0
2012-01-31,0.7960452134236351,negative,generic take toll profit trim view citing stronger dollar,9,-1,0
2012-02-07,0.2244448563941903,positive,india spin off animal dealtalk nestle lead scoop up baby formula unit dealtalk nestle lead scoop up baby formula unit,20,0,0
2012-02-14,0.2664360865804682,positive,best hope alzheimer best hope alzheimer,6,0,0
2012-02-21,0.0975911703156473,positive,eye tie ups chinese drugmakers,5,0,0
2012-02-23,1.9860229940340648,negative,mead danone vie nestle unit source mead danone vie nestle unit source,12,0,1
2012-02-24,0.4936956571211626,positive,mead danone fight nestle unit source,6,0,0
2012-02-27,0.2097457897520138,positive,buy vitamin maker emergen brand,5,1,0
2012-02-28,0.4797769672291618,negative,recall expired lot prevnar vaccine,5,-1,0
2012-03-01,1.209638121278589,positive,durect partner end pain deal,5,0,0
2012-03-02,0.0673217142457938,negative,nestle danone mead battle unit,5,0,0
2012-03-07,0.2038190226627545,negative,bayer novartis mull animal unit report,6,-1,0
2012-03-12,0.2720605824375166,positive,ceo spin off likely animal,5,0,0
2012-03-13,0.3793994158301617,positive,india biocon retain milestone payment deal india biocon fall cancel sale deal update scrap insulin deal india biocon scrap insulin deal india biocon corrected india biocon retain milestone payment deal deutsche cut biocon target exit,35,-1,0
2012-03-15,0.6701428772687756,negative,bayer make non binding offer unit paper ceo pay jump turnaround effort,12,-1,0
2012-03-28,0.0958560604666258,positive,astellas extends deal sell lipitor japan,6,0,0
2012-04-10,1.383698995812832,positive,court rule face asbestos suit court rule face asbestos suit,10,0,1
2012-04-17,0.0201536404616398,positive,nestle near deal baby formula unit wsj nestle near deal baby formula unit wsj close selling nutrition unit nestle wsj,20,0,0
2012-04-18,0.9654562926925347,positive,nestle near buying baby formula source nestle near buying baby formula source pulse stock watch halliburton berkshire,17,0,0
2012-04-19,0.1298398719754789,positive,text fitch credit negative potential nestle buy unit,8,1,0
2012-04-20,0.8403819894938103,positive,danone raise bid baby food unit report danone raise bid baby food unit report,14,1,0
2012-04-23,0.0430120376816445,positive,brief moody nutrition sale credit negative update nestle win pricey battle baby food unit nestle sell part asset report nestle win pricey battle baby food unit nestle buy nutrition bln nestle sell part asset report rpt nestle buy baby food unit bln,42,2,0
2012-04-25,0.2644364277680111,negative,text nestle aaa rtgs afrmd baby unit bid,8,0,0
2012-04-26,0.0898241421316559,positive,danone discipline prevented win,4,1,0
2012-04-27,0.0773679044449249,negative,text summary,2,0,0
2012-05-01,1.1460236157710413,negative,fda approves pfizerprotalix gaucher lookout mid size deal profit solid despite lipitor loss beat profit forecast helped cost cut,19,2,0
2012-05-04,0.642347595486481,positive,lyrica fall short pain study preview panel seen backing arthritis hope,11,-1,0
2012-05-07,0.2397865670238141,positive,fda staff question arthritis benefit,5,1,0
2012-05-09,1.7082651337785193,positive,fda adviser back arthritis,4,0,1
2012-05-16,1.9071445532203413,positive,effective rare child cancer,4,1,1
2012-05-17,1.1297418067901632,positive,rpt effective rare child cancer,5,1,0
2012-05-22,0.928496763285136,negative,fda staff shoot down rare disease fda staff shoot down rare disease,12,0,0
2012-05-24,0.0297791365727384,positive,fda panel vote rare disease,5,0,0
2012-05-25,0.2792877217937861,positive,corrected panel split rare disease panel split rare disease,9,0,0
2012-05-31,0.5512277174488212,negative,dealtalk danone eyeing latam asset post nestle deal,8,0,0
2012-06-01,1.4660156893724907,positive,webmd name executive ceo,4,0,1
2012-06-06,0.8116576127025654,negative,job cut highlight irish exposure patent expiry,7,0,0
2012-06-07,0.0763039407579047,positive,plan animal ipo aim potential animal ipo,7,0,0
2012-06-12,0.7418355949388777,negative,cv rite aid sue over depression,6,0,0
2012-06-18,0.1495991271024621,negative,fda seek rare disease,4,0,0
2012-06-19,0.569383920632438,negative,survey show dim faith alzheimer,5,0,0
2012-06-20,0.0140115329727019,negative,cdc recommends expanded use vaccine cdc recommends expanded use vaccine cdc recommends expanded use vaccine,15,0,0
2012-06-21,1.935095513925722,positive,pain lyrica get added approval,5,1,1
2012-06-22,0.2170627278256232,negative,novartis astra win eu okay loses eu agency back astra antibiotic not gaucher,13,2,0
2012-06-25,0.4813644860322097,positive,fda rebuff bristolpfizer clot preventer fda rebuff bristolpfizer clot preventer bristolpfizer clot preventer delayed,14,0,0
2012-07-05,0.4233036638395138,negative,ok lupin generic nerve pain ok lupin generic nerve pain sued retailer generic lipitor delay yank breast colon claim centrum vitamin,21,-1,0
